Timestamp,Tipe Produk,Kategori Produk,Deskripsi ,Lokasi,Harga,Images,Luas Tanah,Luas Bangunan,Tipe Sertifikat,Brand,Model,Tahun,Kondisi,Kapasitas,Tipe Mobil,Brand,Model,Tahun,Total KM,Transmisi,Jenis Bahan Bakar,Kapasitas Mesin,Warna,Material,Berat (gram),Karat (untuk emas),Brand,Kondisi,Nama Produk
22/11/2025 12:29:24,Properti,Lelang,"Tipe                 : Tanah
Luas tanah        : 149 M
Kondisi                : Cukup Terawat
Hadap                : Barat
Air PDAM        : ✅
Sertifikat        : SHGB

 
⦁        5 menit dari Universitas Muhammadiyah Malang III
⦁        10 menit dari Malang Dinoyo City
⦁        10 menit dari Taman Rekreasi Sengkaling
⦁        10 menit dari Rumah Sakit UMM
⦁        30 menit dari Gerbang tol Singosari","Perumahan Mutiara Kampus Blok B-11,  Desa Tegalgondo, Kec. Karangploso, Kab. Malang",Rp. 413.100.000,"https://drive.google.com/open?id=1rXNqLRUBYV_g2TEz4eJWqi814kUEfQlB, https://drive.google.com/open?id=1we9gxGCu0MEWAt9UJ61xOiURiHXkcfMi, https://drive.google.com/open?id=1r4rfXomcp7CoAlG0jv-9MV0tsvzd4WOw",149,,SHGB,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH
22/11/2025 12:31:26,Properti,Lelang,"Tipe 		: Rumah Tinggal
Luas bangunan 	: 608 M
Luas tanah	: 871 M
Kondisi		: Kurang Terawat
Hadap		: Utara
Lantai		: 2 
Air Pdam	: ✅
Sertifikat	: SHM
Jalur mobil	: 2 arah

 
⦁	10 Menit ke RS Fatmawati
⦁	10 Menit ke MRT Fatmawati
⦁	10 Menit ke Cilandak Town Square
⦁	15 Menit ke Halte Fatmawati
⦁	20 Menit ke Urban Forest Cipete","Jl. Komplek RSPP, Jalan Intan Kavling No. 8 Kel. Cilandak Barat Kec. Cilandak, Jakarta Selatan, DKI Jakarta",10.301.214.000,"https://drive.google.com/open?id=1zXgfS549ahPkfq6quba-McNtOdQSjJZY, https://drive.google.com/open?id=1YlgldiulKBSjbTWYLg6O4bVs1UTjz8q7, https://drive.google.com/open?id=1q68qVfrdhw9tOPDy_Mc3_dmrwEAQgfoj, https://drive.google.com/open?id=1IRn_v1LvIj6x0cKYXQycBBUN7HzeVfCa",871 M,608 M,SHM,,,,,,,,,,,,,,,,,,,,AGUNAN LELANG RUMAH TINGGAL
22/11/2025 12:33:11,Properti,Lelang,"Tipe 		: Tanah Pekarangan
Luas tanah	: 1.346 M
Kondisi		: Cukup Terawat
Hadap		: Utara
Air Tanah	: ✅
Sertifikat	: SHM
Jalur mobil	: 2 arah

 
⦁	2 menit dari Kolam Renang Lembah Wagir
⦁	15 menit dari Universitas PGRI Kanjuruhan
⦁	20 menit dari Bonderland Waterpark
⦁	25 menit dari Rumah Sakit Panti Nirmala
⦁	30 menit dari Mall Sarinah Malang","Desa Sukodadi, Kecamatan Wagir, Kabupaten Malang",Rp. 995.000.000,"https://drive.google.com/open?id=1AOed3A9fjfmN1KrWcNdUslz6Ob_YLpkF, https://drive.google.com/open?id=1QVI3RaLgW8nu3MCIDsmotyQY13dqEmRF, https://drive.google.com/open?id=10BBdVSewEDCxPHZqfQYF4aHlYhvqg7dW, https://drive.google.com/open?id=17RVM1f4l7p4-UUz4Nyh2pWQpA1v7R817",1.346 M,,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH PEKARANGAN
22/11/2025 12:35:14,Properti,Lelang,"Tipe 		: Kantor
Luas bangunan 	: 900 M
Luas tanah	: 326 M
Kondisi		: Baik Terawat
Hadap		: Utara
Lantai		: 4 
Air Pdam	: ✅
Sertifikat	: SHM
Jalur mobil	: 2 arah

 
⦁	5 menit dari RS Siloam Mampang
⦁	6 menit dari Halte Busway Warung Jati
⦁	13 menit dari MRT Haji Nawi
⦁	13 menit dari Lippo Mall Kemang
⦁	20 menit dari Pintu Tol Cawang
⦁	35 menit dari Taman Kota GBK","Jl. Kemang Utara No. 43, Kelurahan Bangka, Kecamatan Mampang Prapatan, Jakarta Selatan, DKI Jakarta",Rp. 8.671.000.000,"https://drive.google.com/open?id=1AIU9dpFV5NFBo_iJmGQUmB9yr3KS5157, https://drive.google.com/open?id=1ZCohstX3fLeko0zu4Y9G545r1b-9w3ku, https://drive.google.com/open?id=17GnYJtTVX6gavSOYmaugWviV_9mip3-3",326 M,900 M,SHM,,,,,,,,,,,,,,,,,,,,AGUNAN LELANG KANTOR 4 LANTAI
22/11/2025 12:36:50,Properti,Lelang,"Tipe                 : Tanah
Luas tanah        : 1.007 M
Kondisi                : Cukup Terawat
Sertifikat        : SHM
Jalur mobil        : 2 arah

 
⦁        6 menit dari SMK Taruna Bangsa Pati
⦁        11 menit dari Kolam Renang Selulop
⦁        15 menit dari Alun-alun Kayen
⦁        16 menit dari Luwes Pati Mall
⦁        21 menit dari Rumah Sakit Keluarga Sehat","Dusun Robyong RT. 005/ RW. 001, Desa Pakisjajar, Kec. Pakis, Kabupaten Malang",340.000.000,"https://drive.google.com/open?id=1UaF56w87cVfpvWCysCKefXCPC2TT6O7q, https://drive.google.com/open?id=1pOQh184CdbfziqRrXrdWgmX3b7fc6W3y, https://drive.google.com/open?id=1bVWmRKpIdGOm9gD09N7-_gnJqaAjHR_H",1.007 M,,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH
13/12/2025 09:41:09,Properti,Lelang,"⦁	1 menit dari RSU Melati Satsuitubun
⦁	5 menit dari Universitas PGRI Kanjuruhan
⦁	12 menit dari Alun-Alun Malang
⦁	16 menit dari Stasiun Malang
⦁	16 menit dari Mall Olympic Garden (MOG)","Perumahan Green Living Jalan Satsui Tubun Kav. 21 Kel. Gadang, Kec, Sukun, Kota Malang, Provinsi Jawa Timur",770.000.000,"https://drive.google.com/open?id=1HfAD51PiTAN34N8CCCiOZU0nyNt9P3fP, https://drive.google.com/open?id=1EHJLs_ItHNpw3QFQJHmf3h8s2Ik-a7kU, https://drive.google.com/open?id=1cNW2kjVK2xc4Et3Y4dgvJZtJ_M9WjtUB",119 m2, 90 m2,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH TINGGAL
13/12/2025 09:46:55,Properti,Lelang,"⦁	9 menit dari RSUD Kota Malang
⦁	12 menit dari SMKN 10 Malang
⦁	14 menit dari Alun-Alun Malang
⦁	15 menit dari Stasiun Pakisaji
⦁	18 menit dari Mall Olympic Garden (MOG)","Jl. Segaran No. 62 RT.03 RW.06, Desa Kendalpayak, Kec. Pakisaji, Kab. Malang, Jawa Timur",625.000.000,"https://drive.google.com/open?id=19KXYp2EtxmxG4U_WVdYawAMSajuSTm6i, https://drive.google.com/open?id=1a1ltrfNqvrNm4au4VpODLsGVFcnTqqY4, https://drive.google.com/open?id=1tg3chY_xJa6Yh247l97Un6yjh0_hAiIh",182 m2,102 m2,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TOKO
13/12/2025 09:51:31,Properti,Lelang,"⦁	1 menit dari RSU Melati Satsuitubun
⦁	6 menit dari Universitas PGRI Kanjuruhan
⦁	13 menit dari Alun-Alun Malang
⦁	16 menit dari Stasiun Malang
⦁	17 menit dari Mall Olympic Garden (MOG)","Perumahan Green Living Blok C No. 1, Jalan Satsui Tubun, Kel. Gadang, Kec. Sukun, Kota Malang",1.250.000.000,"https://drive.google.com/open?id=1Vg8yqFKfZNYglcnxlQLyiFVJm3lwm57u, https://drive.google.com/open?id=1x36j5cQ-qtVElwIQz-aommqdSXzlv7bq, https://drive.google.com/open?id=1PGpVzmGICVPD87uLvq0kHA66pMnJhFJD",165 m2,170 m2,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG RUMAH TINGGAL
13/12/2025 09:54:38,Properti,Lelang,"⦁	1 menit dari Wisata Goa Pinus
⦁	4 menit dari Wisata Paralayang
⦁	5 menit dari Florawisata Santerra De Laponte
⦁	14 menit dari Air Terjun Coban Rondo
⦁	19 menit dari Alun-Alun Batu","Perumahan Pondok Asri Kencana Blok B14 dan B16, Jalan Paralayang RT. 35 RW. 7, Desa Pandesari, Kec. Pujon, Kab. Malang, Jawa Timur",3.250.000.000,"https://drive.google.com/open?id=1NoNeGjlU1-n4nAdgU-X6lI_9qREpAmQ_, https://drive.google.com/open?id=1z_TLz2b3ejYrDiFbpkBxw8B1-GglGUco, https://drive.google.com/open?id=1fo7C4749rdgOmPXZivNV9zFetqyg3yNw, https://drive.google.com/open?id=169KbfcxvJ3UijFNK8fXoIOiwMScJxDP1, https://drive.google.com/open?id=1K4KgG_xIkFajs5YF-kVw0lbfoUhWaaQb, https://drive.google.com/open?id=1MxZcIrIeriRG-zSLyHRCHnAgfXvPZqHm, https://drive.google.com/open?id=1NqLFY4C2RaBShqntsyQUql8dM1fmGS9y, https://drive.google.com/open?id=10zuukwRJiuqJJls4ItZ_iC4lKsWnCp-3, https://drive.google.com/open?id=14-lVICsuufyXAXGVLnscB2L4OnLxQV3Q, https://drive.google.com/open?id=1hWOFOsuCXCuatZ8eCrRM1qtA-4Q68klw",246 m2,935 m2,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG HOTEL
13/12/2025 09:56:35,Properti,Lelang,"⦁	6 menit dari Universitas Maulana Malik Ibrahim
⦁	10 menit dari Batu Night Spectacular (BNS)
⦁	10 menit dari Rumah Sakit Baptis Batu
⦁	13 menit dari Jatim Park 3
⦁	15 menit dari Batu Secret Zoo","Jl. Setapak Desa Tlekung, Kec. Junrejo, Kota Batu",635.000.000,"https://drive.google.com/open?id=1nGcaUd6uYxPlAG5FZWiZnD2bGTL3ZGbi, https://drive.google.com/open?id=1PqJOypVTj5sPmJs-dksbFKWf1aAGQSrq, https://drive.google.com/open?id=1newpHYXbOT7UWlSaRNV7TZuqDPusoO4d, https://drive.google.com/open?id=1Kei9XFkJi4cbW6t7o28xWx7hAvsdPWjX",1.565 m2,,SHM,,,,,,,,,,,,,,,,,,,,SEGERA LELANG TANAH KOSONG
